turn_id,pause_index,p_eot
en__000,0,0.442276
en__000,1,0.222831
en__000,2,0.441721
en__000,3,0.450796
en__001,0,0.483868
en__001,1,0.283423
en__002,0,0.358314
en__002,1,0.405453
en__002,2,0.580133
en__002,3,0.599827
en__002,4,0.490724
en__002,5,0.680092
en__002,6,0.433303
en__003,0,0.508625
en__004,0,0.479047
en__004,1,0.477402
en__005,0,0.367135
en__005,1,0.374458
en__006,0,0.461804
en__006,1,0.399092
en__006,2,0.745592
en__007,0,0.426457
en__007,1,0.358414
en__007,2,0.385348
en__007,3,0.343766
en__007,4,0.259925
en__007,5,0.277678
en__007,6,0.264525
en__008,0,0.466983
en__008,1,0.596060
en__008,2,0.511675
en__008,3,0.566848
en__009,0,0.443320
en__010,0,0.454407
en__010,1,0.396829
en__011,0,0.433917
en__012,0,0.572752
en__012,1,0.453011
en__012,2,0.277941
en__013,0,0.396387
en__014,0,0.403172
en__014,1,0.690384
en__015,0,0.364371
en__015,1,0.538836
en__016,0,0.458450
en__016,1,0.570350
en__016,2,0.535612
en__017,0,0.565301
en__017,1,0.431962
en__018,0,0.515567
en__018,1,0.468744
en__018,2,0.489485
en__018,3,0.448397
en__018,4,0.451561
en__018,5,0.384516
en__019,0,0.522723
en__020,0,0.362752
en__020,1,0.556114
en__020,2,0.475638
en__021,0,0.559038
en__022,0,0.536791
en__022,1,0.500282
en__023,0,0.304921
en__023,1,0.358482
en__023,2,0.314030
en__024,0,0.442682
en__024,1,0.514298
en__024,2,0.446828
en__025,0,0.564484
en__026,0,0.587784
en__027,0,0.621998
en__027,1,0.583387
en__028,0,0.479491
en__028,1,0.540658
en__029,0,0.405635
en__029,1,0.536514
en__029,2,0.460422
en__030,0,0.679771
en__030,1,0.437881
en__030,2,0.608741
en__030,3,0.628152
en__030,4,0.553101
en__031,0,0.581127
en__032,0,0.443998
en__032,1,0.602322
en__033,0,0.603632
en__034,0,0.440290
en__034,1,0.504896
en__035,0,0.568468
en__035,1,0.517672
en__035,2,0.536600
en__036,0,0.334039
en__036,1,0.379213
en__036,2,0.298254
en__037,0,0.330527
en__037,1,0.612849
en__037,2,0.351043
en__037,3,0.415668
en__038,0,0.267558
en__038,1,0.299282
en__038,2,0.342990
en__038,3,0.317056
en__039,0,0.332175
en__039,1,0.304958
en__039,2,0.391448
en__040,0,0.453812
en__041,0,0.603126
en__042,0,0.463218
en__042,1,0.295812
en__042,2,0.377817
en__042,3,0.220878
en__042,4,0.364637
en__043,0,0.599429
en__044,0,0.504881
en__044,1,0.595522
en__044,2,0.711627
en__045,0,0.469767
en__045,1,0.546800
en__046,0,0.459057
en__046,1,0.301248
en__046,2,0.565447
en__047,0,0.452519
en__048,0,0.454806
en__048,1,0.535964
en__049,0,0.362462
en__049,1,0.454842
en__049,2,0.506619
en__049,3,0.506615
en__049,4,0.569350
en__050,0,0.442491
en__051,0,0.499703
en__051,1,0.510322
en__051,2,0.536832
en__052,0,0.535412
en__052,1,0.572535
en__052,2,0.653183
en__053,0,0.444994
en__053,1,0.609420
en__054,0,0.392221
en__054,1,0.512466
en__055,0,0.558825
en__056,0,0.478082
en__057,0,0.544378
en__058,0,0.683207
en__059,0,0.427422
en__059,1,0.305032
en__059,2,0.370347
en__060,0,0.526993
en__060,1,0.388519
en__061,0,0.623081
en__061,1,0.565451
en__061,2,0.326598
en__062,0,0.679571
en__063,0,0.457513
en__063,1,0.412785
en__064,0,0.513848
en__064,1,0.561152
en__065,0,0.597463
en__065,1,0.331522
en__065,2,0.489458
en__066,0,0.571746
en__066,1,0.251321
en__067,0,0.546930
en__067,1,0.619853
en__067,2,0.603553
en__068,0,0.570916
en__068,1,0.377372
en__068,2,0.564217
en__069,0,0.316143
en__069,1,0.365405
en__070,0,0.443235
en__070,1,0.313253
en__070,2,0.315378
en__070,3,0.414351
en__070,4,0.449886
en__070,5,0.525481
en__070,6,0.323305
en__071,0,0.569129
en__072,0,0.444264
en__073,0,0.460721
en__073,1,0.398516
en__074,0,0.734701
en__075,0,0.532579
en__076,0,0.653020
en__077,0,0.454758
en__077,1,0.495336
en__077,2,0.262087
en__078,0,0.332478
en__079,0,0.439270
en__079,1,0.395482
en__080,0,0.416768
en__080,1,0.376208
en__080,2,0.330861
en__080,3,0.490521
en__080,4,0.281185
en__080,5,0.534183
en__081,0,0.325762
en__081,1,0.311302
en__081,2,0.275065
en__081,3,0.366979
en__081,4,0.573408
en__082,0,0.661787
en__082,1,0.691035
en__083,0,0.604563
en__083,1,0.568204
en__083,2,0.598016
en__084,0,0.623140
en__085,0,0.453492
en__086,0,0.485077
en__086,1,0.336591
en__086,2,0.633736
en__087,0,0.467962
en__088,0,0.529323
en__088,1,0.524844
en__089,0,0.469104
en__089,1,0.408583
en__090,0,0.507511
en__090,1,0.494882
en__090,2,0.491512
en__090,3,0.625813
en__091,0,0.661903
en__091,1,0.593353
en__091,2,0.378925
en__091,3,0.465371
en__091,4,0.519104
en__091,5,0.634153
en__091,6,0.572359
en__091,7,0.559443
en__092,0,0.664815
en__092,1,0.466120
en__093,0,0.272790
en__093,1,0.304435
en__093,2,0.512977
en__093,3,0.438182
en__093,4,0.506700
en__094,0,0.542757
en__094,1,0.368453
en__095,0,0.290908
en__095,1,0.410321
en__095,2,0.350787
en__095,3,0.276595
en__095,4,0.375731
en__095,5,0.474767
en__096,0,0.421108
en__097,0,0.509239
en__097,1,0.506335
en__098,0,0.488126
en__099,0,0.542542
