turn_id,pause_index,p_eot
en__000,0,0.409240
en__000,1,0.185772
en__000,2,0.424281
en__000,3,0.407538
en__001,0,0.435996
en__001,1,0.254221
en__002,0,0.324865
en__002,1,0.373845
en__002,2,0.599702
en__002,3,0.607774
en__002,4,0.507011
en__002,5,0.695554
en__002,6,0.421052
en__003,0,0.464762
en__004,0,0.394457
en__004,1,0.461656
en__005,0,0.321395
en__005,1,0.366373
en__006,0,0.478594
en__006,1,0.375024
en__006,2,0.773618
en__007,0,0.368180
en__007,1,0.356151
en__007,2,0.327338
en__007,3,0.278625
en__007,4,0.210787
en__007,5,0.235285
en__007,6,0.196854
en__008,0,0.396804
en__008,1,0.614986
en__008,2,0.509596
en__008,3,0.581558
en__009,0,0.418973
en__010,0,0.421521
en__010,1,0.374274
en__011,0,0.392913
en__012,0,0.536364
en__012,1,0.408984
en__012,2,0.227351
en__013,0,0.334196
en__014,0,0.328660
en__014,1,0.699482
en__015,0,0.364473
en__015,1,0.435857
en__016,0,0.422790
en__016,1,0.570268
en__016,2,0.453825
en__017,0,0.570374
en__017,1,0.390250
en__018,0,0.506424
en__018,1,0.393716
en__018,2,0.493390
en__018,3,0.431799
en__018,4,0.403779
en__018,5,0.341491
en__019,0,0.501423
en__020,0,0.300276
en__020,1,0.512091
en__020,2,0.485447
en__021,0,0.531834
en__022,0,0.499610
en__022,1,0.469518
en__023,0,0.258071
en__023,1,0.324569
en__023,2,0.262128
en__024,0,0.423024
en__024,1,0.498726
en__024,2,0.418003
en__025,0,0.556092
en__026,0,0.598630
en__027,0,0.658027
en__027,1,0.565321
en__028,0,0.488623
en__028,1,0.518291
en__029,0,0.399840
en__029,1,0.521464
en__029,2,0.434318
en__030,0,0.664911
en__030,1,0.417035
en__030,2,0.579909
en__030,3,0.642987
en__030,4,0.559343
en__031,0,0.597690
en__032,0,0.383647
en__032,1,0.591806
en__033,0,0.593787
en__034,0,0.399349
en__034,1,0.476488
en__035,0,0.576698
en__035,1,0.489362
en__035,2,0.539168
en__036,0,0.282945
en__036,1,0.375821
en__036,2,0.258716
en__037,0,0.240273
en__037,1,0.572369
en__037,2,0.324146
en__037,3,0.403904
en__038,0,0.240180
en__038,1,0.243902
en__038,2,0.329010
en__038,3,0.279227
en__039,0,0.285008
en__039,1,0.286905
en__039,2,0.366602
en__040,0,0.407650
en__041,0,0.598384
en__042,0,0.437306
en__042,1,0.242415
en__042,2,0.300891
en__042,3,0.159823
en__042,4,0.335798
en__043,0,0.612473
en__044,0,0.437910
en__044,1,0.574926
en__044,2,0.787771
en__045,0,0.411275
en__045,1,0.507709
en__046,0,0.399946
en__046,1,0.301209
en__046,2,0.594527
en__047,0,0.440620
en__048,0,0.432771
en__048,1,0.489971
en__049,0,0.283177
en__049,1,0.427778
en__049,2,0.477025
en__049,3,0.482971
en__049,4,0.517839
en__050,0,0.440729
en__051,0,0.492707
en__051,1,0.555075
en__051,2,0.540714
en__052,0,0.522777
en__052,1,0.580977
en__052,2,0.685482
en__053,0,0.433122
en__053,1,0.607860
en__054,0,0.403676
en__054,1,0.491280
en__055,0,0.548017
en__056,0,0.463004
en__057,0,0.506224
en__058,0,0.647447
en__059,0,0.436605
en__059,1,0.251169
en__059,2,0.380114
en__060,0,0.581004
en__060,1,0.335944
en__061,0,0.648487
en__061,1,0.573731
en__061,2,0.239807
en__062,0,0.665722
en__063,0,0.393697
en__063,1,0.362835
en__064,0,0.559440
en__064,1,0.589067
en__065,0,0.593019
en__065,1,0.301125
en__065,2,0.511858
en__066,0,0.552509
en__066,1,0.214556
en__067,0,0.525020
en__067,1,0.610843
en__067,2,0.618258
en__068,0,0.572801
en__068,1,0.298419
en__068,2,0.537306
en__069,0,0.286800
en__069,1,0.334786
en__070,0,0.411785
en__070,1,0.276029
en__070,2,0.302750
en__070,3,0.415506
en__070,4,0.350489
en__070,5,0.506482
en__070,6,0.336269
en__071,0,0.565060
en__072,0,0.446245
en__073,0,0.443954
en__073,1,0.391144
en__074,0,0.822550
en__075,0,0.441345
en__076,0,0.662494
en__077,0,0.395086
en__077,1,0.451617
en__077,2,0.238036
en__078,0,0.316347
en__079,0,0.428224
en__079,1,0.374845
en__080,0,0.406638
en__080,1,0.364251
en__080,2,0.328713
en__080,3,0.522270
en__080,4,0.250662
en__080,5,0.446372
en__081,0,0.313625
en__081,1,0.262233
en__081,2,0.205916
en__081,3,0.337357
en__081,4,0.615486
en__082,0,0.702359
en__082,1,0.768175
en__083,0,0.586277
en__083,1,0.555135
en__083,2,0.617675
en__084,0,0.594095
en__085,0,0.414524
en__086,0,0.464226
en__086,1,0.319857
en__086,2,0.637888
en__087,0,0.437443
en__088,0,0.512449
en__088,1,0.522381
en__089,0,0.451413
en__089,1,0.396096
en__090,0,0.504763
en__090,1,0.443624
en__090,2,0.475762
en__090,3,0.622467
en__091,0,0.708228
en__091,1,0.568158
en__091,2,0.317052
en__091,3,0.416786
en__091,4,0.487889
en__091,5,0.603749
en__091,6,0.456505
en__091,7,0.525323
en__092,0,0.687008
en__092,1,0.441525
en__093,0,0.257301
en__093,1,0.265611
en__093,2,0.553279
en__093,3,0.412417
en__093,4,0.488050
en__094,0,0.481905
en__094,1,0.342235
en__095,0,0.265941
en__095,1,0.389008
en__095,2,0.328865
en__095,3,0.246437
en__095,4,0.338450
en__095,5,0.455155
en__096,0,0.396217
en__097,0,0.446112
en__097,1,0.442458
en__098,0,0.471215
en__099,0,0.520268
