turn_id,pause_index,p_eot
hi__000,0,0.290893
hi__000,1,0.560853
hi__000,2,0.458538
hi__001,0,0.473431
hi__001,1,0.444839
hi__002,0,0.362530
hi__003,0,0.536036
hi__004,0,0.578995
hi__005,0,0.509792
hi__005,1,0.607545
hi__006,0,0.476972
hi__006,1,0.611076
hi__006,2,0.323402
hi__007,0,0.207797
hi__007,1,0.444284
hi__007,2,0.602971
hi__007,3,0.530713
hi__007,4,0.454007
hi__007,5,0.568461
hi__008,0,0.536408
hi__009,0,0.696717
hi__010,0,0.380705
hi__010,1,0.321548
hi__010,2,0.412588
hi__010,3,0.543356
hi__011,0,0.540485
hi__011,1,0.452075
hi__011,2,0.520580
hi__012,0,0.316512
hi__012,1,0.497223
hi__012,2,0.535706
hi__012,3,0.534893
hi__012,4,0.525627
hi__012,5,0.327354
hi__013,0,0.553182
hi__014,0,0.421186
hi__014,1,0.406275
hi__014,2,0.553872
hi__014,3,0.541088
hi__014,4,0.504309
hi__014,5,0.458780
hi__015,0,0.697739
hi__016,0,0.517406
hi__017,0,0.553847
hi__017,1,0.423048
hi__018,0,0.539207
hi__018,1,0.405091
hi__018,2,0.544533
hi__019,0,0.424268
hi__019,1,0.384962
hi__019,2,0.562084
hi__019,3,0.538763
hi__019,4,0.369574
hi__020,0,0.563895
hi__020,1,0.495704
hi__021,0,0.545002
hi__022,0,0.416399
hi__022,1,0.451313
hi__022,2,0.587622
hi__022,3,0.540467
hi__022,4,0.443265
hi__022,5,0.391052
hi__022,6,0.586651
hi__022,7,0.540699
hi__023,0,0.636615
hi__024,0,0.445489
hi__025,0,0.332872
hi__025,1,0.393542
hi__025,2,0.552999
hi__026,0,0.390120
hi__027,0,0.411983
hi__027,1,0.492633
hi__028,0,0.435068
hi__028,1,0.403724
hi__029,0,0.490783
hi__029,1,0.404829
hi__029,2,0.374646
hi__029,3,0.521531
hi__030,0,0.674994
hi__031,0,0.308116
hi__031,1,0.323326
hi__032,0,0.412083
hi__032,1,0.620493
hi__033,0,0.582724
hi__033,1,0.514275
hi__033,2,0.362909
hi__034,0,0.627792
hi__034,1,0.584053
hi__034,2,0.441544
hi__035,0,0.547881
hi__036,0,0.569060
hi__036,1,0.505459
hi__036,2,0.611938
hi__036,3,0.494296
hi__036,4,0.575519
hi__036,5,0.589147
hi__036,6,0.538610
hi__037,0,0.464488
hi__037,1,0.286447
hi__037,2,0.680243
hi__038,0,0.334046
hi__038,1,0.359721
hi__038,2,0.525267
hi__038,3,0.528741
hi__039,0,0.598231
hi__040,0,0.476121
hi__040,1,0.492534
hi__040,2,0.287749
hi__041,0,0.466572
hi__041,1,0.406687
hi__042,0,0.572492
hi__042,1,0.436970
hi__043,0,0.529334
hi__043,1,0.529497
hi__044,0,0.431054
hi__044,1,0.458433
hi__045,0,0.543071
hi__045,1,0.407892
hi__046,0,0.363031
hi__046,1,0.331897
hi__046,2,0.520745
hi__047,0,0.391921
hi__048,0,0.543042
hi__049,0,0.477753
hi__050,0,0.498186
hi__051,0,0.535319
hi__051,1,0.537012
hi__051,2,0.517828
hi__052,0,0.708843
hi__053,0,0.403375
hi__053,1,0.544535
hi__053,2,0.396188
hi__054,0,0.549805
hi__054,1,0.698324
hi__055,0,0.289191
hi__055,1,0.416225
hi__056,0,0.455959
hi__057,0,0.412106
hi__057,1,0.650310
hi__058,0,0.376141
hi__058,1,0.421264
hi__059,0,0.397724
hi__059,1,0.374599
hi__059,2,0.560426
hi__060,0,0.423613
hi__060,1,0.521336
hi__061,0,0.346368
hi__061,1,0.543074
hi__062,0,0.501352
hi__063,0,0.457376
hi__063,1,0.356105
hi__063,2,0.433857
hi__063,3,0.757092
hi__064,0,0.373010
hi__064,1,0.339937
hi__064,2,0.571485
hi__064,3,0.567493
hi__064,4,0.591168
hi__065,0,0.495312
hi__066,0,0.341619
hi__066,1,0.502553
hi__066,2,0.615208
hi__067,0,0.585872
hi__068,0,0.622396
hi__069,0,0.440648
hi__069,1,0.368842
hi__069,2,0.540386
hi__069,3,0.569126
hi__069,4,0.391317
hi__069,5,0.576921
hi__070,0,0.408325
hi__070,1,0.415177
hi__071,0,0.482419
hi__071,1,0.399852
hi__071,2,0.436559
hi__072,0,0.553320
hi__072,1,0.582676
hi__073,0,0.393932
hi__073,1,0.561875
hi__073,2,0.467430
hi__073,3,0.527619
hi__073,4,0.481331
hi__073,5,0.409434
hi__074,0,0.642662
hi__074,1,0.469200
hi__075,0,0.591432
hi__075,1,0.721258
hi__076,0,0.497630
hi__077,0,0.485063
hi__077,1,0.274120
hi__077,2,0.566956
hi__078,0,0.555898
hi__078,1,0.357916
hi__078,2,0.277595
hi__078,3,0.430537
hi__079,0,0.474896
hi__079,1,0.393908
hi__079,2,0.615126
hi__080,0,0.340800
hi__080,1,0.470710
hi__081,0,0.384969
hi__081,1,0.570261
hi__081,2,0.519647
hi__082,0,0.629252
hi__083,0,0.656204
hi__084,0,0.753137
hi__085,0,0.594201
hi__085,1,0.568543
hi__085,2,0.524192
hi__086,0,0.519341
hi__086,1,0.318194
hi__087,0,0.356991
hi__087,1,0.406588
hi__087,2,0.613028
hi__088,0,0.440477
hi__088,1,0.565068
hi__088,2,0.504921
hi__089,0,0.392394
hi__089,1,0.270241
hi__089,2,0.483329
hi__090,0,0.437221
hi__090,1,0.454321
hi__090,2,0.449163
hi__090,3,0.437839
hi__091,0,0.611136
hi__092,0,0.562908
hi__093,0,0.458598
hi__094,0,0.389746
hi__094,1,0.423616
hi__094,2,0.610769
hi__094,3,0.641103
hi__094,4,0.397744
hi__094,5,0.594121
hi__095,0,0.448782
hi__095,1,0.543384
hi__096,0,0.417511
hi__096,1,0.477836
hi__096,2,0.366805
hi__096,3,0.455113
hi__097,0,0.348075
hi__097,1,0.563031
hi__097,2,0.357374
hi__097,3,0.432845
hi__097,4,0.368544
hi__097,5,0.275753
hi__098,0,0.477622
hi__099,0,0.385263
hi__099,1,0.649532
