turn_id,pause_index,p_eot
hi__000,0,0.221347
hi__000,1,0.425237
hi__000,2,0.522522
hi__001,0,0.311007
hi__001,1,0.369009
hi__002,0,0.266552
hi__003,0,0.433036
hi__004,0,0.449197
hi__005,0,0.450116
hi__005,1,0.515721
hi__006,0,0.416278
hi__006,1,0.647154
hi__006,2,0.341108
hi__007,0,0.125951
hi__007,1,0.503447
hi__007,2,0.669215
hi__007,3,0.594943
hi__007,4,0.571478
hi__007,5,0.584504
hi__008,0,0.450847
hi__009,0,0.634990
hi__010,0,0.238502
hi__010,1,0.203795
hi__010,2,0.372226
hi__010,3,0.428629
hi__011,0,0.635213
hi__011,1,0.541331
hi__011,2,0.441089
hi__012,0,0.293481
hi__012,1,0.252190
hi__012,2,0.341509
hi__012,3,0.628540
hi__012,4,0.439590
hi__012,5,0.406534
hi__013,0,0.486292
hi__014,0,0.194890
hi__014,1,0.409022
hi__014,2,0.401431
hi__014,3,0.269633
hi__014,4,0.577653
hi__014,5,0.256431
hi__015,0,0.710603
hi__016,0,0.369774
hi__017,0,0.483891
hi__017,1,0.523757
hi__018,0,0.497499
hi__018,1,0.386513
hi__018,2,0.595125
hi__019,0,0.408173
hi__019,1,0.365817
hi__019,2,0.642401
hi__019,3,0.538960
hi__019,4,0.450829
hi__020,0,0.561593
hi__020,1,0.501233
hi__021,0,0.514420
hi__022,0,0.286912
hi__022,1,0.280325
hi__022,2,0.455877
hi__022,3,0.568297
hi__022,4,0.250085
hi__022,5,0.178237
hi__022,6,0.563954
hi__022,7,0.388292
hi__023,0,0.790717
hi__024,0,0.528359
hi__025,0,0.167290
hi__025,1,0.191528
hi__025,2,0.550761
hi__026,0,0.467839
hi__027,0,0.268811
hi__027,1,0.501084
hi__028,0,0.311112
hi__028,1,0.376691
hi__029,0,0.344914
hi__029,1,0.346779
hi__029,2,0.454281
hi__029,3,0.471342
hi__030,0,0.746567
hi__031,0,0.123833
hi__031,1,0.343990
hi__032,0,0.380750
hi__032,1,0.527521
hi__033,0,0.703060
hi__033,1,0.671687
hi__033,2,0.244211
hi__034,0,0.549495
hi__034,1,0.516634
hi__034,2,0.511426
hi__035,0,0.581500
hi__036,0,0.658021
hi__036,1,0.509811
hi__036,2,0.629943
hi__036,3,0.491325
hi__036,4,0.522268
hi__036,5,0.519960
hi__036,6,0.545253
hi__037,0,0.288320
hi__037,1,0.142337
hi__037,2,0.586509
hi__038,0,0.249941
hi__038,1,0.303268
hi__038,2,0.457061
hi__038,3,0.453898
hi__039,0,0.605078
hi__040,0,0.489025
hi__040,1,0.529556
hi__040,2,0.132273
